date;people;precip;wind;bulletin;clouds;weekend;minutes_daylight;website_views
01.12.2019;68;16;8;3;5.6;1;0;292
02.12.2019;34;18;8;3;1.4;0;0;334
03.12.2019;38;12;5;3;4.6;0;0;229
04.12.2019;6;30;7;4;8;0;0;265
05.12.2019;43;3;6;3;7.2;0;0;102
06.12.2019;11;0;4;2;2.6;0;0;133
07.12.2019;42;0;5;1;3.6;1;0;108
08.12.2019;59;4;5;2;6.8;1;0;133
09.12.2019;62;4;5;2;4;0;0;136
10.12.2019;13;6;4;2;6;0;0;167
11.12.2019;0;2;6;3;4.4;0;0;165
12.12.2019;33;0;5;3;1.6;0;0;133
13.12.2019;23;0;4;2;2.2;0;0;126
14.12.2019;31;0;5;2;1.2;1;0;139
15.12.2019;48;0;5;2;4.8;1;58;84
16.12.2019;1;1;4;2;5.6;0;88;74
17.12.2019;20;3;2;2;5.6;0;110;78
18.12.2019;36;2;5;2;8;0;129;98
19.12.2019;43;2;4;2;6.6;0;147;95
20.12.2019;83;0;5;2;4.8;0;163;74
21.12.2019;24;0;5;2;1.6;1;177;81
22.12.2019;66;0;6;2;7.6;1;192;81
23.12.2019;51;1;4;2;6.8;1;205;56
24.12.2019;55;2;4;2;7.4;1;218;62
25.12.2019;55;1;5;2;7.2;1;231;73
26.12.2019;38;0;4;2;3.2;1;243;83
27.12.2019;22;0;5;2;7.2;1;255;76
28.12.2019;13;7;8;3;6.4;1;266;97
29.12.2019;40;8;7;3;8;1;278;102
30.12.2019;26;2;6;2;5.6;1;289;89
31.12.2019;43;6;7;2;3.4;1;300;85
01.01.2020;70;10;5;2;3.6;1;311;91
02.01.2020;40;9;7;2;7.8;0;321;107
03.01.2020;54;6;6;2;7;0;332;142
04.01.2020;69;12;9;3;2.4;1;342;204
05.01.2020;60;1;5;2;5.2;1;353;207
06.01.2020;31;7;5;2;5.6;0;363;91
07.01.2020;79;1;6;2;6.8;0;373;92
08.01.2020;71;3;6;2;6.6;0;383;71
09.01.2020;63;18;10;2;4.8;0;393;96
10.01.2020;40;8;6;2;5.6;0;402;145
11.01.2020;88;3;5;2;7.6;1;412;178
12.01.2020;85;12;6;3;7.4;1;422;127
13.01.2020;39;6;6;3;5.6;0;431;168
14.01.2020;51;2;5;3;7.4;0;440;142
15.01.2020;48;0;5;2;6.8;0;450;118
16.01.2020;54;0;4;2;7.2;0;459;138
17.01.2020;72;0;5;2;1.8;0;468;172
18.01.2020;27;0;6;2;2.8;1;478;190
19.01.2020;76;1;5;2;4.6;1;487;141
20.01.2020;75;30;7;3;8;0;496;120
21.01.2020;34;14;6;3;6.2;0;505;209
22.01.2020;52;10;6;3;3;0;514;300
23.01.2020;41;8;5;3;8;0;523;283
24.01.2020;32;4;5;3;6.4;0;532;527
25.01.2020;54;3;5;2;3.2;1;541;549
26.01.2020;60;1;4;2;3.2;1;550;458
27.01.2020;34;0;7;3;1.8;0;559;229
